Delivery_Delay,Delivered_intime
11,TRUE
NULL,TRUE
11,TRUE
3,TRUE
13,TRUE
23,TRUE
15,TRUE
-12,FALSE
12,TRUE
7,TRUE
9,TRUE
13,TRUE
9,TRUE
3,TRUE
11,TRUE
14,TRUE
NULL,TRUE
18,TRUE
4,TRUE
19,TRUE
27,TRUE
21,TRUE
16,TRUE
14,TRUE
12,TRUE
14,TRUE
0,TRUE
-5,FALSE
3,TRUE
-4,FALSE
1,TRUE
22,TRUE
22,TRUE
9,TRUE
20,TRUE
18,TRUE
25,TRUE
20,TRUE
16,TRUE
14,TRUE
14,TRUE
4,TRUE
2,TRUE
22,TRUE
19,TRUE
12,TRUE
3,TRUE
15,TRUE
22,TRUE
19,TRUE
5,TRUE
23,TRUE
27,TRUE
NULL,TRUE
15,TRUE
24,TRUE
8,TRUE
4,TRUE
18,TRUE
14,TRUE
19,TRUE
13,TRUE
5,TRUE
26,TRUE
15,TRUE
13,TRUE
28,TRUE
14,TRUE
17,TRUE
14,TRUE
1,TRUE
10,TRUE
15,TRUE
13,TRUE
46,TRUE
10,TRUE
NULL,TRUE
9,TRUE
7,TRUE
2,TRUE
15,TRUE
14,TRUE
8,TRUE
4,TRUE
17,TRUE
11,TRUE
9,TRUE
6,TRUE
NULL,TRUE
-12,FALSE
9,TRUE
8,TRUE
19,TRUE
21,TRUE
6,TRUE
9,TRUE
14,TRUE
NULL,TRUE
12,TRUE
14,TRUE
6,TRUE
7,TRUE
13,TRUE
8,TRUE
14,TRUE
6,TRUE
20,TRUE
13,TRUE
20,TRUE
8,TRUE
15,TRUE
24,TRUE
15,TRUE
10,TRUE
14,TRUE
32,TRUE
18,TRUE
13,TRUE
13,TRUE
4,TRUE
11,TRUE
15,TRUE
6,TRUE
11,TRUE
8,TRUE
20,TRUE
15,TRUE
5,TRUE
8,TRUE
13,TRUE
18,TRUE
10,TRUE
9,TRUE
7,TRUE
26,TRUE
-15,FALSE
21,TRUE
3,TRUE
6,TRUE
13,TRUE
15,TRUE
-9,FALSE
12,TRUE
NULL,TRUE
18,TRUE
19,TRUE
20,TRUE
19,TRUE
21,TRUE
13,TRUE
29,TRUE
-7,FALSE
19,TRUE
23,TRUE
19,TRUE
8,TRUE
16,TRUE
15,TRUE
8,TRUE
2,TRUE
21,TRUE
6,TRUE
18,TRUE
15,TRUE
NULL,TRUE
20,TRUE
7,TRUE
11,TRUE
25,TRUE
6,TRUE
8,TRUE
15,TRUE
6,TRUE
20,TRUE
9,TRUE
5,TRUE
13,TRUE
4,TRUE
20,TRUE
19,TRUE
9,TRUE
16,TRUE
7,TRUE
5,TRUE
18,TRUE
17,TRUE
14,TRUE
NULL,TRUE
18,TRUE
23,TRUE
12,TRUE
22,TRUE
12,TRUE
19,TRUE
4,TRUE
12,TRUE
15,TRUE
12,TRUE
-1,FALSE
15,TRUE
15,TRUE
19,TRUE
22,TRUE
1,TRUE
13,TRUE
12,TRUE
8,TRUE
16,TRUE
7,TRUE
14,TRUE
17,TRUE
18,TRUE
4,TRUE
NULL,TRUE
12,TRUE
13,TRUE
14,TRUE
21,TRUE
14,TRUE
9,TRUE
10,TRUE
10,TRUE
NULL,TRUE
24,TRUE
16,TRUE
5,TRUE
22,TRUE
5,TRUE
21,TRUE
16,TRUE
15,TRUE
9,TRUE
8,TRUE
11,TRUE
18,TRUE
19,TRUE
-30,FALSE
10,TRUE
8,TRUE
14,TRUE
10,TRUE
-6,FALSE
19,TRUE
3,TRUE
23,TRUE
3,TRUE
4,TRUE
20,TRUE
21,TRUE
16,TRUE
17,TRUE
12,TRUE
9,TRUE
2,TRUE
20,TRUE
22,TRUE
21,TRUE
15,TRUE
19,TRUE
16,TRUE
20,TRUE
-3,FALSE
6,TRUE
9,TRUE
11,TRUE
18,TRUE
24,TRUE
15,TRUE
12,TRUE
9,TRUE
1,TRUE
-12,FALSE
3,TRUE
10,TRUE
18,TRUE
14,TRUE
17,TRUE
0,TRUE
13,TRUE
15,TRUE
8,TRUE
15,TRUE
10,TRUE
12,TRUE
11,TRUE
12,TRUE
2,TRUE
9,TRUE
10,TRUE
14,TRUE
6,TRUE
24,TRUE
7,TRUE
13,TRUE
-14,FALSE
19,TRUE
12,TRUE
9,TRUE
8,TRUE
14,TRUE
15,TRUE
12,TRUE
23,TRUE
11,TRUE
11,TRUE
10,TRUE
18,TRUE
11,TRUE
12,TRUE
8,TRUE
5,TRUE
18,TRUE
7,TRUE
13,TRUE
9,TRUE
10,TRUE
26,TRUE
23,TRUE
22,TRUE
24,TRUE
15,TRUE
11,TRUE
17,TRUE
15,TRUE
19,TRUE
2,TRUE
-4,FALSE
8,TRUE
14,TRUE
12,TRUE
18,TRUE
